timestamp,region,latency_ms,bandwidth_mbps,packet_loss_pct,fps,jitter_ms,player_count
2024-01-01 00:17:58,Mumbai,87.61,69.38,1.321,95.6,24.51,675
2024-01-01 00:16:44,Tokyo,114.55,74.88,9.295,96.4,4.72,4339
2024-01-01 00:10:36,Jakarta,43.29,92.56,0.357,108.5,10.02,221
2024-01-01 00:07:38,Sydney,79.43,77.86,1.445,88.7,11.49,243
2024-01-01 00:12:21,Singapore,34.61,97.03,0.466,116.6,5.85,2873
2024-01-01 00:11:05,Jakarta,53.39,80.98,1.182,101.3,2.11,3344
2024-01-01 00:09:36,Mumbai,53.49,94.47,1.071,106.7,28.64,4423
2024-01-01 00:12:57,Seoul,21.19,93.08,0.0,120.4,9.03,2313
2024-01-01 00:16:09,Sydney,107.06,82.26,3.907,90.8,10.84,1952
2024-01-01 00:07:19,Mumbai,57.62,87.04,1.723,114.2,20.3,4081
2024-01-01 00:10:01,Tokyo,13.06,97.4,0.0,116.9,11.93,4813
2024-01-01 00:21:05,Sydney,127.32,69.99,4.549,91.1,0.0,121
2024-01-01 00:04:31,Sydney,99.97,78.26,1.805,91.0,1.46,744
2024-01-01 00:08:01,Singapore,134.06,79.54,4.637,85.2,50.0,1608
2024-01-01 00:18:31,Jakarta,48.41,93.58,0.411,103.0,2.47,3570
2024-01-01 00:05:38,Jakarta,65.02,86.15,1.269,107.2,4.81,3004
2024-01-01 00:09:42,Mumbai,58.1,78.02,1.166,95.7,13.0,886
2024-01-01 00:08:05,Tokyo,32.69,83.58,0.927,114.2,8.84,1776
2024-01-01 00:08:26,Tokyo,32.22,98.04,0.92,109.6,8.01,2424
2024-01-01 00:24:40,Singapore,28.36,95.06,0.584,104.4,26.46,1601
2024-01-01 00:16:18,Jakarta,60.45,87.12,1.137,95.0,15.44,4709
2024-01-01 00:11:54,Tokyo,101.37,88.61,3.577,91.5,6.91,242
2024-01-01 00:04:40,Sydney,123.44,75.31,5.232,86.4,1.2,2152
2024-01-01 00:24:54,Jakarta,49.8,86.33,0.676,105.2,5.7,2071
2024-01-01 00:27:36,Sydney,73.08,78.25,1.108,100.8,32.47,2567
2024-01-01 00:17:01,Tokyo,47.86,88.14,0.585,108.2,2.75,2795
2024-01-01 00:21:18,Tokyo,34.92,87.91,0.406,124.1,6.12,3689
2024-01-01 00:26:15,Seoul,31.23,95.26,0.521,107.0,9.48,2759
2024-01-01 00:17:11,Seoul,25.45,85.61,0.285,109.6,16.81,3498
2024-01-01 00:01:15,Jakarta,45.74,90.63,1.152,114.1,9.39,4896
2024-01-01 00:05:21,Mumbai,73.73,93.2,0.952,105.1,6.51,4429
2024-01-01 00:09:06,Sydney,100.35,81.09,9.676,95.0,28.49,2608
2024-01-01 00:23:51,Seoul,18.43,94.32,0.0,122.7,7.84,4006
2024-01-01 00:26:51,Seoul,75.55,77.3,1.312,101.4,48.48,867
2024-01-01 00:17:32,Jakarta,65.97,82.23,0.819,104.4,19.94,611
2024-01-01 00:03:30,Seoul,43.3,91.3,0.665,114.8,0.6,2312
2024-01-01 00:03:31,Singapore,52.59,86.1,1.01,100.5,1.55,2116
2024-01-01 00:04:11,Mumbai,80.5,84.52,1.634,98.6,26.33,1676
2024-01-01 00:07:19,Jakarta,67.03,91.74,1.733,102.1,36.44,1833
2024-01-01 00:27:00,Sydney,80.17,86.0,1.185,92.9,26.89,3806
2024-01-01 00:12:45,Seoul,26.8,93.49,0.573,106.6,4.2,1172
2024-01-01 00:00:35,Mumbai,47.96,87.98,0.868,101.3,24.07,160
2024-01-01 00:04:24,Sydney,77.23,88.34,1.503,96.1,16.07,1382
2024-01-01 00:23:25,Singapore,88.43,83.77,2.118,98.7,10.35,2268
2024-01-01 00:18:48,Singapore,47.73,100.43,0.774,105.2,0.97,1220
2024-01-01 00:00:39,Mumbai,65.26,83.98,0.868,101.2,15.63,1830
2024-01-01 00:22:58,Jakarta,43.3,88.2,0.335,103.3,22.66,1767
2024-01-01 00:23:52,Mumbai,60.5,79.08,0.9,106.0,1.16,1799
2024-01-01 00:14:11,Sydney,54.21,91.06,1.452,105.8,30.81,4248
2024-01-01 00:10:37,Singapore,31.42,100.6,0.165,114.8,12.44,4948
2024-01-01 00:25:21,Singapore,28.21,84.27,0.662,105.8,6.58,4608
2024-01-01 00:04:09,Seoul,42.65,79.29,0.552,118.1,6.45,3942
2024-01-01 00:15:14,Sydney,73.0,88.7,1.024,98.7,25.61,4281
2024-01-01 00:17:52,Tokyo,36.73,89.72,0.081,109.1,18.17,2571
2024-01-01 00:26:31,Singapore,25.91,92.42,0.427,110.0,3.04,2935
2024-01-01 00:08:04,Singapore,36.86,90.02,0.568,113.2,1.42,1944
2024-01-01 00:02:13,Seoul,83.55,79.65,1.685,107.5,9.79,447
2024-01-01 00:24:11,Jakarta,42.62,83.01,0.328,111.2,6.13,2064
2024-01-01 00:13:09,Singapore,32.88,94.98,0.562,115.7,5.39,2884
2024-01-01 00:04:24,Jakarta,58.98,91.65,1.334,104.5,3.0,1221
2024-01-01 00:08:21,Tokyo,30.45,102.87,0.454,108.5,7.19,4311
2024-01-01 00:13:46,Singapore,47.98,87.9,1.477,109.4,21.23,2961
2024-01-01 00:24:15,Tokyo,29.31,99.64,0.535,107.5,17.07,3708
2024-01-01 00:01:47,Mumbai,69.32,84.36,0.874,103.1,20.86,4135
2024-01-01 00:23:14,Singapore,196.4,61.72,9.584,67.1,50.0,1451
2024-01-01 00:20:40,Singapore,35.4,100.87,0.795,110.1,9.17,4044
2024-01-01 00:19:23,Sydney,68.91,96.8,1.569,100.5,10.26,1882
2024-01-01 00:01:45,Jakarta,63.61,79.18,1.33,107.4,6.99,731
2024-01-01 00:03:28,Sydney,58.56,89.63,0.206,102.1,12.87,4774
2024-01-01 00:26:38,Seoul,28.13,90.32,0.289,115.3,1.29,2932
2024-01-01 00:26:11,Seoul,23.03,102.07,0.0,114.9,1.93,1667
2024-01-01 00:13:19,Mumbai,57.86,95.62,1.25,101.1,0.0,682
2024-01-01 00:13:38,Sydney,137.78,77.02,6.293,84.3,17.75,2307
2024-01-01 00:03:22,Jakarta,67.82,82.85,1.512,104.5,16.88,2853
2024-01-01 00:21:00,Singapore,30.95,100.75,0.518,114.0,1.33,3511
2024-01-01 00:12:56,Seoul,29.68,96.17,0.59,104.0,4.29,1024
2024-01-01 00:16:11,Mumbai,60.48,86.27,1.41,106.8,10.44,3112
2024-01-01 00:01:20,Singapore,36.43,94.11,0.446,109.3,7.17,1501
2024-01-01 00:08:06,Singapore,31.7,104.78,0.846,121.7,14.78,4114
2024-01-01 00:07:49,Sydney,86.83,82.95,1.67,96.9,42.78,1509
2024-01-01 00:12:00,Jakarta,52.53,89.35,1.175,108.0,0.06,4199
2024-01-01 00:15:52,Mumbai,52.83,88.64,1.214,107.8,18.95,4761
2024-01-01 00:21:19,Singapore,32.6,97.59,0.285,114.2,15.28,2098
2024-01-01 00:08:41,Tokyo,22.73,93.42,0.222,108.9,10.73,368
2024-01-01 00:22:30,Tokyo,23.33,94.18,0.546,108.5,6.36,1518
2024-01-01 00:17:03,Singapore,92.72,93.61,1.489,94.0,50.0,3290
2024-01-01 00:10:32,Tokyo,18.56,94.31,0.174,117.4,2.8,3311
2024-01-01 00:04:31,Singapore,170.33,71.16,4.906,79.9,0.05,1931
2024-01-01 00:09:59,Jakarta,40.96,86.83,0.971,102.9,4.57,2919
2024-01-01 00:12:00,Sydney,59.95,84.88,1.387,86.6,20.64,212
2024-01-01 00:24:00,Tokyo,165.65,69.64,5.98,80.5,50.0,4382
2024-01-01 00:19:30,Tokyo,36.86,95.19,0.551,114.3,5.1,4697
2024-01-01 00:02:50,Sydney,58.57,89.19,0.777,101.8,19.8,1073
2024-01-01 00:22:10,Sydney,54.75,86.85,0.448,102.2,22.24,2558
2024-01-01 00:26:52,Seoul,75.59,82.15,1.42,100.7,0.0,4918
2024-01-01 00:27:32,Seoul,27.0,98.67,0.425,115.7,1.68,2398
2024-01-01 00:26:25,Singapore,26.08,90.79,0.494,113.8,11.14,2741
2024-01-01 00:20:25,Sydney,73.84,72.36,1.173,98.1,8.09,1082
2024-01-01 00:14:29,Seoul,33.69,92.46,0.551,113.7,11.02,1263
2024-01-01 00:19:40,Mumbai,67.12,86.61,1.24,101.1,15.09,1343
2024-01-01 00:12:44,Mumbai,68.85,80.12,1.008,109.2,16.1,686
2024-01-01 00:12:46,Tokyo,28.81,102.86,0.472,118.8,9.7,2676
2024-01-01 00:20:44,Jakarta,54.44,80.09,0.577,102.1,1.05,4535
